Title,Type,Description,Question (Gujarati),Question (English),Option A,Option B,Option C,Option D,Correct Answer (Gujarati)
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતની રાજધાની શું છે?,What is the capital of India?,અમદાવાદ,દિલ્લી,મુંબઈ,ચેન્નાઈ,દિલ્લી
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી મોટો મહાસાગર કયો છે?,Which is the largest ocean in the world?,અટલાન્ટિક,હિન્દ મહાસાગર,પ્રશાંત મહાસાગર,આર્કટિક,પ્રશાંત મહાસાગર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય પક્ષી કયો છે?,What is the national bird of India?,મોર,કબૂતર,કાગડો,ચકલી,મોર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,સૂર્યમાળાનો સૌથી મોટો ગ્રહ કયો છે?,Which is the largest planet in the solar system?,શુક્ર,મંગળ,ગુરુ,શનિ,ગુરુ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,રાષ્ટ્રગીત 'જન ગણ મન' કોણે લખ્યું?,Who wrote the national anthem 'Jana Gana Mana'?,બંકિમચંદ્ર,રવીન્દ્રનાથ ટાગોર,મહાત્મા ગાંધી,સુભાષચંદ્ર બોઝ,રવીન્દ્રનાથ ટાગોર
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય ફૂલ કયો છે?,What is the national flower of India?,ગુલાબ,કમળ,સૂર્યમુખી,મોગરો,કમળ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,ભારતનો રાષ્ટ્રીય રમત કયો છે?,What is the national game of India?,હોકી,ક્રિકેટ,કબડ્ડી,ફૂટબોલ,હોકી
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી ઊંચો પર્વત કયો છે?,Which is the highest mountain in the world?,એવરેસ્ટ,કાંચેંજંગા,નંદાદેવી,અનાપુર્ણા,એવરેસ્ટ
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,પृथ્વી પર કેટલા ખંડ છે?,How many continents are there on Earth?,5,6,7,8,7
Basic Quiz Question,MCQ,Gujarati-English basic interesting quiz,વિશ્વનો સૌથી નાનો દેશ કયો છે?,Which is the smallest country in the world?,નેપાળ,વેટિકન સિટી,ભૂતાન,માલદીવ,વેટિકન સિટી
